Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
39 6000 5.45284714562426 10.5029155418385 -5.05006839621424 0 0 PN2 T2 Ebv GN2 0.25 0
40 6000 5.84839358012797 10.7949048835031 -4.9465113033751 0 0 PN2 T2 Ebv GN2 0.25 0
20 1500 -0.120128309421538 0.00605710692539124 -0.126185416346929 0 0 PN2 T2 Tbv GN2 0.25 0
21 6000 0.155835486909987 0.140220961429091 0.0156145254808952 0 0 PN2 T2 Tbv GN2 0.25 0
22 6000 0.804021188928848 0.376226272313608 0.42779491661524 0 0 PN2 T2 Tbv GN2 0.25 0
23 6000 1.48952497641321 0.593968442118993 0.895556534294219 0 0 PN2 T2 Tbv GN2 0.25 0
24 6000 2.03619790265162 0.678731942813905 1.35746595983772 0 0 PN2 T2 Tbv GN2 0.25 0
25 6000 2.23717839375688 0.751263852252414 1.48591454150447 0 0 PN2 T2 Tbv GN2 0.25 0
26 6000 2.67850203165046 0.926295456874261 1.75220657477619 0 0 PN2 T2 Tbv GN2 0.25 0
27 6000 3.06202835774508 1.08767451781907 1.97435383992601 0 0 PN2 T2 Tbv GN2 0.25 0
28 6000 3.37834960262006 1.31519290902848 2.06315669359158 0 0 PN2 T2 Tbv GN2 0.25 0
29 6000 3.82195660992206 1.56783505528193 2.25412155464013 0 0 PN2 T2 Tbv GN2 0.25 0
30 6000 4.15530226570851 1.7572769664478 2.39802529926071 0 0 PN2 T2 Tbv GN2 0.25 0
31 6000 4.52399071003241 1.84845487513525 2.67553583489716 0 0 PN2 T2 Tbv GN2 0.25 0
32 6000 5.10679708259256 2.07340508877489 3.03339199381768 0 0 PN2 T2 Tbv GN2 0.25 0
33 6000 5.6428697574088 2.49848717096975 3.14438258643905 0 0 PN2 T2 Tbv GN2 0.25 0
34 6000 6.09790572450244 2.81745141866282 3.28045430583962 0 0 PN2 T2 Tbv GN2 0.25 0
35 6000 6.25364736436433 2.90765303647586 3.34599432788847 0 0 PN2 T2 Tbv GN2 0.25 0
36 6000 6.6564542856525 3.28184991849414 3.37460436715837 0 0 PN2 T2 Tbv GN2 0.25 0
37 6000 7.01925447824744 3.4874572106156 3.53179726763183 0 0 PN2 T2 Tbv GN2 0.25 0
38 6000 7.6360504853646 3.82452948384821 3.81152100151639 0 0 PN2 T2 Tbv GN2 0.25 0
